s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HVENT_1,
5538,402.325802240033,99.9186868476087,2.12787585844433,-2.98663981366932,0.201261639595032,0.000360986450687051,0,-2.01294746499372,0,2.21,2.138,
5609,395.243317439817,98.5659187590081,2.13150136850281,-2.96049199849516,0.203394800424576,0.000362300779670477,0,-2.01294746499372,0,2.21,2.138,
5680,388.322638734842,96.5790025167254,2.13504087482681,-2.91556983395838,0.205523401498795,0.000364248728146777,0,-2.01294746499372,0,2.21,2.138,
5751,381.61147975389,94.6636705438854,2.13847014133671,-2.87167945046966,0.207630544900894,0.000366146443411708,0,-2.01294746499372,0,2.21,2.138,
5822,375.078944807273,92.8202556099982,2.14178323839833,-2.8289040523499,0.209723502397537,0.000367991655366495,0,-2.01294746499372,0,2.21,2.138,
5893,368.776231187706,91.0482103800867,2.14492629223813,-2.78729168852154,0.211783245205879,0.000369783054338768,0,-2.01294746499372,0,2.21,2.138,
5964,362.665041857681,89.3445218205707,2.14797198874348,-2.7468256179627,0.213819369673729,0.000371521833585575,0,-2.01294746499372,0,2.21,2.138,
6035,356.734450162678,87.7038926516361,2.15092592418609,-2.7074218240234,0.215833127498627,0.000373211834812537,0,-2.01294746499372,0,2.21,2.138,
6106,350.975067142193,86.1222780486143,2.15379291435645,-2.66902474197583,0.217825382947922,0.000374855648260564,0,-2.01294746499372,0,2.21,2.138,
6177,345.378252720819,84.5960233560255,2.15657738964857,-2.63158387805521,0.219796940684319,0.000376455718651414,0,-2.01294746499372,0,2.21,2.138,
6248,339.936044464777,83.1218000343297,2.15928343194356,-2.59505271367039,0.22174859046936,0.000378014228772372,0,-2.01294746499372,0,2.21,2.138,
6319,334.641096679524,81.6965702633959,2.1619148061652,-2.55938836597839,0.223680973052979,0.000379533303203061,0,-2.01294746499372,0,2.21,2.138,
6390,329.486622123707,80.3175568655201,2.16447499037675,-2.52455126828883,0.225594714283943,0.0003810147754848,0,-2.01294746499372,0,2.21,2.138,
6461,324.477844967821,78.9840924204094,2.16696149280184,-2.4905523853904,0.227485999464989,0.000382458354579285,0,-2.01294746499372,0,2.21,2.138,
6532,319.58574398032,77.6903811339225,2.16938881244563,-2.45727134899379,0.229364082217216,0.000383869366487488,0,-2.01294746499372,0,2.21,2.138,
6603,314.620571204383,77.0675423074298,2.17185104738676,-2.44453589726719,0.231302171945572,0.000384552404284477,0,-2.01294746499372,0,2.21,2.138,
6674,309.530985706763,76.9745546346373,2.17437358906866,-2.44629338727088,0.233323022723198,0.00038465455872938,0,-2.01294746499372,0,2.21,2.138,
6745,304.313414322521,76.9410563953163,2.1769581578452,-2.43720439254692,0.235431760549545,0.000384691433282569,0,-2.01294746499372,0,2.21,2.138,
6816,299.725721706049,75.8350589224808,2.17922955432612,-2.40901360675441,0.237317711114883,0.000385911233024672,0,-2.01294746499372,0,2.21,2.138,
6887,295.298061270747,74.6411791599477,2.18142064720597,-2.37763921424157,0.239166751503944,0.000387236650567502,0,-2.01294746499372,0,2.21,2.138,
6958,291.000706668802,73.4848955996431,2.1835462333403,-2.34700196694855,0.240989118814468,0.000388529035262764,0,-2.01294746499372,0,2.21,2.138,
7029,286.81973117971,72.3644277415141,2.18561328104259,-2.31708062952379,0.242789000272751,0.000389789638575166,0,-2.01294746499372,0,2.21,2.138,
7100,282.746045392073,71.2772819100707,2.18762635472729,-2.28782709675276,0.244568735361099,0.000391020643291995,0,-2.01294746499372,0,2.21,2.138,
